"Comment","Designator","Footprint","LCSC Part #"
"9p","C105,C106","C_0402_1005Metric","C32949"
"100n","C102,C104","C_0402_1005Metric","C1525"
"10Âµ","C101,C103","CP_EIA-3216-18_Kemet-A","C7171"
"BAT60A","D101","D_SOD-323","C520634"
"WS2812B","D102,D103,D104,D105","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2761795"
"AP1117-33","U101","SOT-223-3_TabPin2","C108785"
"SP3485CN","U103","SOIC-8_3.9x4.9mm_P1.27mm","C8963"
"STM32F030F4Px","U102","TSSOP-20_4.4x6.5mm_P0.65mm","C89040"
"16MHz","Y101","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
